state_ID,State_,Tot_Pop,Year,Pop_Dist_White,Pop_Dist_Black,Pop_Dist_Hispanic,Pop_Dist_Asian,Pop_Dist_Am_In,Pop_Dist_Nat_Haw_Pac_Isl,Pop_Dist_Mult_race,Povbr_White,Povbr_Black,Povbr_Hispanic,Povbr_As_PI,Povbr_Am_Na,Povbr_Multiple_Races,Mean_Unempl,Tot_GSP_Mil,snap_tot_ben_Mil,SNAP_no_rep,Pov_Ad_Ch,Pov_Ad_No,Pov_Ad_Tot,Ad_Poor_MH_zero,Ad_Poor_MH_four,Ad_Poor_MH_thirteen,Ad_Poor_MH_fourteen,Cov_Vacc_one
13,Idaho,1971122,2023,78,1,14,1,1,0,5,9,0,14,9,24,8,29737,122047.4,249422713,124043.25,8,11,10,58,15,13,15,42363511
14,Illinois,12642259,2023,58,13,19,6,0,0,4,8,23,14,10,25,13,287502,1102071.4,5440583141,2031384.5,10,11,11,58,15,14,14,21713543
15,Iowa,6880131,2023,83,4,7,2,0,0,4,10,20,20,10,0,15,50709,251480.8,509140557,262612.92,9,12,11,56,16,13,15,190367856
16,Indiana,3218414,2023,75,9,9,3,0,0,5,10,25,19,12,26,20,113559,507423.8,1302142694,598746.5,11,12,12,55,15,13,17,82394800
17,Kansas,2951500,2023,73,5,14,3,0,0,5,10,17,18,10,0,15,40156,230727,499072350,186985.25,10,12,11,58,15,12,16,42196498
18,Kentucky,4550595,2023,82,7,5,1,0,0,5,15,25,26,18,25,21,84176,283273.4,1121254285,554221.08,16,16,16,0,0,0,0,58426571
19,Louisiana,4588071,2023,56,30,7,2,1,0,5,13,29,21,19,21,20,75720,315826.7,2354543870,896550.67,17,18,18,54,14,14,19,55460644
20,Maine,1399646,2023,90,2,2,1,0,0,5,10,21,10,0,24,14,19513,93145.4,421962459,167767.83,8,11,10,55,15,12,18,139932939
21,Maryland,6217062,2023,46,29,13,7,0,0,5,7,14,13,7,0,9,66847,521158.9,1692132703,671132,7,10,9,57,15,14,14,105426434
22,Massachusetts,7066568,2023,66,7,14,7,0,0,7,8,17,20,11,30,12,125560,750434.8,3090708314,1084038.67,9,10,10,56,16,14,15,24903026
